prenom_joueur,nom_joueur,id_pays
Se-jong,Ju,22
Hyun-woo,Cho,22
Young-sun,Yun,22
Seung-hyun,Jung,22
Seung-woo,Lee,22
Seon-min,Moon,22
Ban-suk,Oh,22
Celso,Borges,23
Bryan,Ruiz,23
Keylor,Navas,23
Cristian,Bolanos,23
Joel,Campbell,23
Johnny,Acosta,23
Giancarlo,Gonzalez,23
Cristian,Gamboa,23
Marco,Urena,23
Randall,Azofeifa,23
Yeltsin,Tejeda,23
Johan,Venegas,23
David,Guzman,23
Bryan,Oviedo,23
Oscar,Duarte,23
Patrick,Pemberton,23
Francisco,Calvo,23
Rodney,Wallace,23
Kendall,Waston,23
Daniel,Colindres,23
Leonel,Moreira,23
Kenner,Gutierrez,23
Ian,Smith,23
Luka,Modric,25
Vedran,Corluka,25
Ivan,Rakitic,25
Mario,Mandzukic,25
Ivan,Perisic,25
Domagoj,Vida,25
Ivan,Strinic,25
Mateo,Kovacic,25
Dejan,Lovren,25
Danijel,Subasic,25
Nikola,Kalinic,25
Milan,Badelj,25
Sime,Vrsaljko,25
Marcelo,Brozovic,25
Andrej,Kramaric,25
Josip,Pivaric,25
Ante,Rebic,25
Marko,Pjaca,25
Lovre,Kalinic,25
Tin,Jedvaj,25
Filip,Bradaric,25
Duje,Caleta-Car,25
Dominik,Livakovic,25
Simon,Kjaer,27
Christian,Eriksen,27
William,Kvist,27
Michael,Krohn-Dehli,27
Kasper,Schmeichel,27
Lasse,SchOne,27
Nicolai,JOrgensen,27
Yussuf,Yurary,27
Thomas,Delaney,27
Martin,Braithwaite,27
Andreas,Cornelius,27
Andreas,Christensen,27
Viktor,Fischer,27
Pione,Sisto,27
Henrik,Dalsgaard,27
Jens,Stryger,27
Jannick,Vestergaard,27
Mathias,Zanka,27
Kasper,Dolberg,27
Frederik,ROnnow,27
Lukas,Lerager,27
Jonas,Knudsen,27
Jonas,LOssl,27
Essam,El-Hadary,29
Ahmed,Fathi,29
Ahmed,Elmohamady,29
Mohamed,Elneny,29
Mohamed,Salah,29
Mohamed,Abdel-Shafi,29
Ahmed,Hegazy,29
Abdallah,Said,29
Mahmoud,Shikabala,29
Mahmoud,Hassan,29
Marwan,Mohsen,29
Ramadan,Sobhi,29
Ali,Gabr,29
Tarek,Hamed,29
Omar,Gaber,29
Sherif,Ekramy,29
Mahmoud,Kahraba,29
Amr,Warda,29
Saad,Samir,29
Sam,Morsy,29
Mohamed,El-Shenawy,29
Ayman,Ashraf,29
Mahmoud,Hamdy,29
Sergio,Ramos,32
Andres,Iniesta,32
David,Silva,32
Sergio,Busquets,32
Gerard,Pique,32
Jordi,Alba,32
Koke,Resurrección,32
Jose,Reina,32
David,De Gea,32
Isco,Alarcon Suarez,32
Thiago,Alcantara,32
Diego,Costa,32
Cesar,Azpilicueta,32
Nacho,Monreal,32
Nacho,Fernandez,32
Daniel,Carvajal,32
Marco,Asensio,32
Iago,Aspas,32
Saul,Niguez,32
Lucas,Vazquez,32
Rodrigo,Moreno Machado,32
Alvaro,Odriozola,32
Kepa,Arrizabalaga,32
Hugo,Lloris,34
Olivier,Giroud,34
Blaise,Matuidi,34
Antoine,Griezmann,34
Paul,Pogba,34
Raphaël,Varane,34
Adil,Rami,34
N'Golo,Kante,34
Steve,Mandanda,34
Samuel,Umtiti,34
Kylian,Mbappe,34
Djibril,Sidibe,34
Nabil,Fekir,34
Ousmane,Dembele,34
Thomas,Lemar,34
Corentin,Tolisso,34
Lucas,Hernandez,34
Benjamin,Pavard,34
Benjamin,Mendy,34
Steven,Nzonzi,34
Florian,Thauvin,34
Presnel,Kimpembe,34
Alphonse,Areola,34
Ehsan,Hajsafi,43
Masoud,Shojaei,43
Karim,Ansarifard,43
Pejman,Montazeri,43
Ashkan,Dejagah,43
Reza,Ghoochanneijhad,43
Alireza,Jahanbakhsh,43
Vahid,Amiri,43
Omid,Ebrahimi,43
Sardar,Azmoun,43
Ramin,Rezaeian,43
Morteza,Pouraliganji,43
Mehdi,Taremi,43
Saeid,Ezatolahi,43
Alireza,Beiranvand,43
Milad,Mohammadi,43
Mehdi,Torabi,43
Mohammad,Reza,43
Roozbeh,Cheshmi,43
Saman,Ghoddos,43
Mohammad,Rashid,43
Majid,Hosseini,43
Amir,Abedzadeh,43
Birkir,Mar Sævarsson,46
Ragnar,Sigurdsson,46
Aron,Einar,46
Birkir,Bjarnason,46
Kari,Arnason,46
Johann,Berg,46
Emil,Hallfredsson,46
Gylfi,Thor,46
Ari,Freyr,46
Hannes,Thor,46
Alfred,Finnbogason,46
Rurik,Gislason,46
Samuel,Fridjonsson,46
Olafur-Ingi,Skulason,46
Jon,Dadi,46
Sverrir,Ingi,46
Arnor,Ingvi,46
Hordur,Bjorgvin,46
BjOrn,Bergmann,46
Holmar,Orn,46
Albert,Gudmundsson,46
Frederik,Schram,46
Runar,Alex,46
Shinji,Okazaki,50
Makoto,Hasebe,50
Yuto,Nagatomo,50
Keisuke,Honda,50
Shinji,Kagawa,50
Eiji,Kawashima,50
Maya,Yoshida,50
Hiroki,Sakai,50
Hotaru,Yamaguchi,50
Gotoku,Sakai,50
Genki,Haraguchi,50
Tomoaki,Makino,50
Yuya,Osako,50
Takashi,Inui,50
Takashi,Usami,50
Yoshinori,Muto,50
Gaku,Shibasaki,50
Gen,Shoji,50
Wataru,Endo,50
Masaaki,Higashiguchi,50
Ryota,Oshima,50
Kosuke,Nakamura,50
Naomichi,Ueda,50
Mbark,Boussoufa,52
Mehdi,Benatia,52
Karim,El-Ahmadi,52
Younes,Belhanda,52
Nordin,Amrabat,52
Nabil,Dirar,52
Manuel,Da,52
Munir,El-Kajoui,52
Romain,Saiss,52
Fayçal,Fajr,52
Mehdi,Carcela,52
Hakim,Ziyech,52
Khalid,Boutaib,52
Youssef,En-Nesyri,52
Aziz,Bouhaddouz,52
Youssef,Ait,52
Achraf,Hakimi,52
Hamza,Mendyl,52
Ayoub,El-Kaabi,52
Yassine,Bounou,52
Sofyan,Amrabat,52
Amine,Harit,52
Ahmed,Reda,52
Andres,Guardado,53
Rafael,Marquez,53
Giovani,Dos,53
Javier,Hernandez,53
Guillermo,Ochoa,53
Hector,Moreno,53
Carlos,Vela,53
Hector,Herrera,53
Miguel,Layun,53
Oribe,Peralta,53
Raul,Jimenez,53
Jose,de Corona,53
Javier,Aquino,53
Hugo,Ayala,53
Marco,Fabian,53
Jesus,Manuel,53
Jonathan,Dos,53
Hirving,Lozano,53
Alfredo,Talavera,53
Jesus,Gallardo,53
Carlos,Salcedo,53
Edson,Alvarez,53
Erick,Gutierrez,53
John,Obi,54
Ahmed,Musa,54
Elderson,Echiejile,54
Ogenyi,On
